"filename", "language", "XML", "Markdown", "Java Properties", "Java", "PostCSS", "HTML", "JavaScript", "Batch", "YAML", "comment", "blank", "total"
"/Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/resources/static/signUp.js", "JavaScript", 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 15, 73
"/Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/resources/static/userLogin.js", "JavaScript", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 17, 48
"/Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/resources/templates/admin.html", "HTML", 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 14, 72
"/Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/resources/templates/adminAddBookPage.html", "HTML", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 8, 37
"/Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/resources/templates/cart.html", "HTML", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 6, 33
"/Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/resources/templates/index.html", "HTML", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 13, 66
"/Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/resources/templates/loginAdmin.html", "HTML", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 5, 27
"/Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/resources/templates/loginEntry.html", "HTML", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 2, 23
"/Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/resources/templates/loginUser.html", "HTML", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 4, 26
"/Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/resources/templates/settingsEntry.html", "HTML", 0, 0, 0, 0, 0, 33, 0, 0, 0, 1, 6, 40
"/Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/resources/templates/signUp.html", "HTML", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 3, 27
"/Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/test/java/com/example/app/AdminControllerTest.java", "Java", 0, 0, 0, 58, 0, 0, 0, 0, 0, 21, 22, 101
"/Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/test/java/com/example/app/AdminTest.java", "Java", 0, 0, 0, 33, 0, 0, 0, 0, 0, 5, 11, 49
"/Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/test/java/com/example/app/AppApplicationTests.java", "Java", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 5, 14
"/Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/test/java/com/example/app/BookControllerTest.java", "Java", 0, 0, 0, 102, 0, 0, 0, 0, 0, 43, 33, 178
"/Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/test/java/com/example/app/BookTest.java", "Java", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 15, 75
"/Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/test/java/com/example/app/CartControllerTest.java", "Java", 0, 0, 0, 96, 0, 0, 0, 0, 0, 8, 31, 135
"/Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/test/java/com/example/app/CartTest.java", "Java", 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 23, 108
"/Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/test/java/com/example/app/HomeControllerTest.java", "Java", 0, 0, 0, 21, 0, 0, 0, 0, 0, 1, 7, 29
"/Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/test/java/com/example/app/LogoutControllerTest.java", "Java", 0, 0, 0, 26, 0, 0, 0, 0, 0, 1, 6, 33
"/Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/test/java/com/example/app/SettingsControllerTest.java", "Java", 0, 0, 0, 107, 0, 0, 0, 0, 0, 9, 36, 152
"/Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/test/java/com/example/app/SignUpControllerTest.java", "Java", 0, 0, 0, 26, 0, 0, 0, 0, 0, 1, 6, 33
"/Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/test/java/com/example/app/UserControllerTest.java", "Java", 0, 0, 0, 68, 0, 0, 0, 0, 0, 31, 31, 130
"/Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/test/java/com/example/app/UserTest.java", "Java", 0, 0, 0, 38, 0, 0, 0, 0, 0, 3, 11, 52
"Total", "-", 223, 61, 13, 1731, 1646, 289, 932, 108, 25, 650, 1065, 6743
