Date : 2025-09-02 10:58:09
Directory : /Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca
Total : 72 files,  5028 codes, 650 comments, 1065 blanks, all 6743 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| /Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/resources/static/adminstylesheet.css             | PostCSS         |        440 |         13 |         72 |        525 |
| /Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/resources/static/cart.js                         | JavaScript      |        175 |          6 |         40 |        221 |
| /Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/resources/static/cartstylesheet.css              | PostCSS         |        206 |          5 |         30 |        241 |
| /Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/resources/static/index.js                        | JavaScript      |        217 |          4 |         29 |        250 |
| /Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/resources/static/indexstylesheet.css             | PostCSS         |        441 |         25 |         81 |        547 |
| /Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/resources/static/loginAdmin.css                  | PostCSS         |         71 |          0 |          8 |         79 |
| /Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/resources/static/loginEntry.css                  | PostCSS         |         52 |          0 |         10 |         62 |
| /Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/resources/static/loginUser.css                   | PostCSS         |         71 |          0 |          9 |         80 |
| /Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/resources/static/settings.css                    | PostCSS         |        156 |          7 |         25 |        188 |
| /Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/resources/static/settings.js                     | JavaScript      |        129 |          5 |         19 |        153 |
| /Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/resources/static/signUp.css                      | PostCSS         |         80 |          1 |         12 |         93 |
| /Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/resources/static/signUp.js                       | JavaScript      |         58 |          0 |         15 |         73 |
| /Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/resources/static/userLogin.js                    | JavaScript      |         31 |          0 |         17 |         48 |
| /Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/resources/templates/admin.html                   | HTML            |         58 |          0 |         14 |         72 |
| /Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/resources/templates/adminAddBookPage.html        | HTML            |         29 |          0 |          8 |         37 |
| /Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/resources/templates/cart.html                    | HTML            |         27 |          0 |          6 |         33 |
| /Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/resources/templates/index.html                   | HTML            |         53 |          0 |         13 |         66 |
| /Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/resources/templates/loginAdmin.html              | HTML            |         22 |          0 |          5 |         27 |
| /Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/resources/templates/loginEntry.html              | HTML            |         21 |          0 |          2 |         23 |
| /Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/resources/templates/loginUser.html               | HTML            |         22 |          0 |          4 |         26 |
| /Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/resources/templates/settingsEntry.html           | HTML            |         33 |          1 |          6 |         40 |
| /Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/main/resources/templates/signUp.html                  | HTML            |         24 |          0 |          3 |         27 |
| /Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/test/java/com/example/app/AdminControllerTest.java    | Java            |         58 |         21 |         22 |        101 |
| /Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/test/java/com/example/app/AdminTest.java              | Java            |         33 |          5 |         11 |         49 |
| /Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/test/java/com/example/app/AppApplicationTests.java    | Java            |          9 |          0 |          5 |         14 |
| /Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/test/java/com/example/app/BookControllerTest.java     | Java            |        102 |         43 |         33 |        178 |
| /Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/test/java/com/example/app/BookTest.java               | Java            |         60 |          0 |         15 |         75 |
| /Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/test/java/com/example/app/CartControllerTest.java     | Java            |         96 |          8 |         31 |        135 |
| /Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/test/java/com/example/app/CartTest.java               | Java            |         85 |          0 |         23 |        108 |
| /Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/test/java/com/example/app/HomeControllerTest.java     | Java            |         21 |          1 |          7 |         29 |
| /Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/test/java/com/example/app/LogoutControllerTest.java   | Java            |         26 |          1 |          6 |         33 |
| /Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/test/java/com/example/app/SettingsControllerTest.java | Java            |        107 |          9 |         36 |        152 |
| /Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/test/java/com/example/app/SignUpControllerTest.java   | Java            |         26 |          1 |          6 |         33 |
| /Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/test/java/com/example/app/UserControllerTest.java     | Java            |         68 |         31 |         31 |        130 |
| /Users/zarifkhan/Documents/Work/SoftwareEngineering/Amazin.ca/app/src/test/java/com/example/app/UserTest.java               | Java            |         38 |          3 |         11 |         52 |
| Total                                                                                                                       |                 |      5,028 |        650 |      1,065 |      6,743 |
+-----------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
